state-action,actual score,actual runtime,50s diff score,50s diff runtime,100s diff score,100s diff runtime,200s diff score,200s diff runtime,300s diff score,300s diff runtime
"((32, 33, 41, 4, 10), 3)",0.7123903752438729,1.1164310109998041,0.13248081796722633,-0.8002920129998529,0.13590965893858065,-0.6584777169999143,0.09280193069429832,-0.37511130269995197,0.0378699800536747,-0.047939461800342587
"((47, 55, 54, 12, 10), 1)",0.8333094101667964,1.3455326929979492,0.12440176841844097,-1.1156045694981003,0.12835273991357998,-0.9676364523980737,0.11011793063024344,-0.6480435832974762,0.07484955281026262,-0.28835076489776834
"((10, 9, 42, 3, 10), 3)",0.9051348886792419,1.081914856997173,0.030241825156374857,-0.7019151245964167,0.013265248140998165,-0.5901104960972589,0.0030368837050326336,-0.35010129599613715,0.0028382461236901024,-0.18701925879722692
"((40, 32, 41, 5, 10), 0)",0.613272369037234,1.1588211830021464,0.18826109753068065,-0.8133671164021508,0.2110591803543973,-0.6482010450024973,0.17150643499591856,-0.3573449972005619,0.12179497350423496,-0.19750691080262184
"((40, 48, 49, 5, 10), 0)",0.613272369037234,1.1932402000020375,0.2170657134973949,-0.837920231400858,0.1747699137812173,-0.665249977602798,0.15459379022846942,-0.43620152460098327,0.08472011183936123,-0.06646959890204007
"((45, 44, 46, 10, 10), 0)",0.6658949926974747,1.1249996539991116,0.1288409034589646,-0.7969504638986109,0.1210526817694415,-0.6150029997992533,0.0932096943271783,-0.2864713949995348,0.026528939407152174,0.08830892410151137
"((7, 6, 29, 7, 10), 1)",0.7690880555908051,0.867229868999857,0.101778034973525,-0.5460012541996548,0.1142339015749747,-0.46323655630003485,0.08255941903648989,-0.21939436609973195,0.04496059068852443,0.11973012570015273
"((21, 22, 19, 7, 10), 3)",0.6752277413143579,1.2885405630004243,0.07764419118359978,-0.8505413975002739,0.057255472049723255,-0.7431360952999967,0.021860679478891476,-0.4201923509001062,-0.000252379304872985,-0.06262540660027294
"((4, 12, 29, 4, 10), 2)",0.9084474818813003,1.103034834999562,0.011533121350481568,-0.7877877227998397,0.008644792204339669,-0.7096917815997585,0.024477696081431355,-0.49698993720048745,-0.003706485678535043,-0.27452468119918194
"((37, 38, 29, 9, 10), 1)",0.7294456314266052,1.1231486840006255,0.05788309741816067,-0.754349837600239,0.0545304746667713,-0.6039530269001261,0.0321025462107809,-0.32047910809997115,0.011020695113158174,-0.03802129760115358
"((38, 39, 29, 10, 10), 3)",0.81385070785892,1.1036836899984337,0.06213791124500001,-0.715036871698976,0.04670283096485761,-0.5720696058986505,0.0037836113996891907,-0.28707387659887895,0.003029096183063018,-0.003988051798296421
"((21, 20, 29, 7, 10), 3)",0.6752277413143579,1.1490570720015967,0.09492986080687327,-0.765351226601706,0.0489966818424854,-0.6003313310015074,0.040104520599297144,-0.28607651770144005,0.024271839277124174,0.021606746698307644
"((55, 55, 54, 13, 10), 2)",0.8441915539160574,1.2376284130004933,0.11549647142413488,-0.9914115514013246,0.11058416588599107,-0.8657459415004268,0.09591922997419644,-0.5624387982006738,0.07459823645397923,-0.2700685678999435
"((5, 13, 19, 5, 10), 2)",0.8660111748297669,0.8569326500000898,0.05072809171182735,-0.5474653743996896,0.02877164646112873,-0.43560623539997323,-0.0019965900077247856,-0.18520734570010977,-0.019902879290424114,0.0027244181997957417
"((47, 55, 54, 12, 10), 1)",0.8333094101667964,1.113599158001307,0.12700078963370076,-0.8846974229010811,0.11772841982526538,-0.7400933620014257,0.10525122971908174,-0.4539985241011891,0.06444804386205993,-0.12173508260129895
"((4, 12, 19, 4, 10), 2)",0.9084474818813003,0.8484973939994234,0.010699919315275253,-0.5628966357999161,0.019080714424563938,-0.46179821379882924,0.021156145092287915,-0.21735709329877861,0.00897500489368841,0.00551092700043232
"((47, 55, 54, 12, 10), 1)",0.8333094101667964,1.1476879159999953,0.11760729491260558,-0.9163370485002815,0.13210092867093937,-0.7740450828998291,0.10678409413067447,-0.4751801956994314,0.07523769965627791,-0.19313864090072452
"((61, 53, 59, 12, 10), 2)",0.8766499905912728,0.8663519680012541,0.08120776846130862,-0.6286888889015245,0.056939253752832264,-0.49903652690190936,0.052795085225673666,-0.2527601744011918,0.011770843455332858,-0.1080983195010049
"((28, 27, 29, 7, 10), 1)",0.4486782790454487,0.8616925229980552,0.23207558667152733,-0.6176565977977588,0.18223771725160548,-0.5060667156980344,0.14918289941463908,-0.29319454079850404,0.07487849521771078,-0.07341766189747434
"((0, 8, 19, 0, 10), 3)",0.8906422406401642,0.8556286659986654,0.07333681033932216,-0.5840063147988985,0.07717938473894659,-0.4962351852984284,0.06906674543771474,-0.2804525361989363,0.01682803889284379,-0.06339353729817954
"((23, 15, 19, 9, 10), 1)",0.841606796012565,1.1211361999994551,0.02663049623827296,-0.710813635699742,0.02334865596698954,-0.5541956314991694,0.011924060830332706,-0.27827526689943627,0.000571501847435818,0.00936442670026727
"((34, 33, 42, 6, 10), 0)",0.647048947327752,1.1310750550001103,0.13169021845178652,-0.869382790700547,0.0808550392403844,-0.7608846218005055,0.05834185391129709,-0.42009411180079037,0.019050167467678958,-0.13274540189959227
"((60, 61, 52, 11, 10), 2)",0.9138993986600059,0.8409310590031964,0.05150302655199601,-0.6512013900028251,0.03165933963382672,-0.5316168553028546,0.017181303489878674,-0.3206986336030241,0.014738537820343511,-0.09953781770418568
